latitude,longitude,Corrosion
16.2018478,77.28195398,low-moderate
16.20225723,77.27955486,low-moderate
16.20417844,77.27821501,low-moderate
16.20739083,77.27759867,low-moderate
16.21065987,77.27699207,low-moderate
16.21390636,77.27637149,low-moderate
16.21716228,77.27574415,low-moderate
16.22046692,77.27513496,low-moderate
16.22370743,77.27454002,low-moderate
16.22697548,77.27394995,low-moderate
16.23004868,77.27335718,low-moderate
16.23310689,77.2727614,low-moderate
16.23653117,77.27215921,low-moderate
16.2398563,77.27153826,low-moderate
16.24173199,77.27232926,low-moderate
16.24513299,77.27123529,low-moderate
16.2484709,77.27017425,low-moderate
16.25188072,77.26904628,low-moderate
16.25523703,77.26796155,low-moderate
16.25869275,77.26683373,low-moderate
16.26200094,77.26576435,low-moderate
16.26534947,77.26472431,low-moderate
16.2670683,77.26266862,low-moderate
16.26969011,77.26011491,low-moderate
16.2723583,77.25756244,low-moderate
16.27497219,77.25512148,low-moderate
16.27743374,77.25281892,low-moderate
16.28015231,77.25021379,low-moderate
16.28282071,77.2476367,low-moderate
16.28548156,77.24507598,low-moderate
16.28688028,77.24325746,low-moderate
16.28970397,77.24093225,low-moderate
16.29240211,77.23859929,low-moderate
16.29517042,77.23627013,low-moderate
16.29792163,77.23394541,low-moderate
16.3006534,77.23156413,low-moderate
16.30332677,77.22925198,low-moderate
16.30608457,77.22698601,low-moderate
16.30888386,77.22461148,low-moderate
16.31070725,77.22335552,low-moderate
16.31239519,77.2221776,low-moderate
16.31479599,77.21956675,low-moderate
16.31723121,77.21695079,low-moderate
16.31960175,77.21429511,low-moderate
16.32201148,77.21164103,low-moderate
16.32431077,77.20909214,low-moderate
16.32667777,77.20648689,low-moderate
16.32909638,77.20384109,low-moderate
16.33146492,77.20121293,low-moderate
16.33386515,77.19857907,low-moderate
16.33626606,77.19591995,low-moderate
16.33863728,77.19332372,low-moderate
16.80112375,76.80609248,low-moderate
16.80336956,76.80337607,low-moderate
16.80556838,76.80061096,low-moderate
16.80787055,76.79781741,low-moderate
16.80796828,76.79511233,low-moderate
16.80803174,76.79208153,low-moderate
16.80960952,76.78939481,low-moderate
16.95100368,76.64265573,low-moderate
16.9535807,76.64010139,low-moderate
16.95620178,76.63749584,low-moderate
16.95866689,76.63505489,low-moderate
16.96124663,76.63248525,low-moderate
16.96368219,76.63005647,low-moderate
16.96633926,76.6273905,low-moderate
17.16167311,76.45382587,low-moderate
17.16451757,76.45149125,low-moderate
17.16682083,76.44924875,low-moderate
17.16948292,76.44658266,low-moderate
17.1722446,76.4438138,low-moderate
17.17477835,76.44145418,low-moderate
17.1774014,76.4388586,low-moderate
17.17998834,76.43636659,low-moderate
17.18257283,76.43381243,low-moderate
17.18515639,76.43132772,low-moderate
17.18782151,76.42874019,low-moderate
17.19026527,76.4263386,low-moderate
17.19262196,76.42402108,low-moderate
17.19548751,76.42124667,low-moderate
17.2214256,76.39625202,low-moderate
17.22416659,76.39389499,low-moderate
17.2268812,76.39166983,low-moderate
17.22943832,76.38952841,low-moderate
17.23218057,76.38722631,low-moderate
17.23474872,76.38501989,low-moderate
17.23730472,76.38286281,low-moderate
17.23999624,76.38060551,low-moderate
17.24266689,76.37832372,low-moderate
17.24534867,76.376077,low-moderate
17.24802555,76.37382236,low-moderate
17.25067805,76.37153093,low-moderate
17.25339338,76.36910694,low-moderate
17.25604289,76.36667345,low-moderate
17.25876966,76.36419865,low-moderate
17.26136218,76.36180207,low-moderate
17.26400153,76.35939111,low-moderate
17.26651601,76.35698854,low-moderate
17.2691717,76.35455213,low-moderate
17.27184538,76.35209241,low-moderate
17.27438561,76.34976666,low-moderate
17.27699254,76.34733835,low-moderate
17.27968823,76.344815,low-moderate
17.2823556,76.34249439,low-moderate
17.285061,76.34018108,low-moderate
17.28767604,76.3378633,low-moderate
17.29033572,76.33552549,low-moderate
17.2930131,76.33317302,low-moderate
17.2956795,76.33080696,low-moderate
17.29834557,76.32848995,low-moderate
17.30105434,76.32608616,low-moderate
17.3037123,76.32378203,low-moderate
17.30643004,76.32141279,low-moderate
17.30914274,76.31924809,low-moderate
17.31145566,76.31743514,low-moderate
17.31427938,76.31523808,low-moderate
17.31700741,76.31310872,low-moderate
17.31971726,76.31097696,low-moderate
17.32246719,76.30877296,low-moderate
17.32527785,76.30652949,low-moderate
17.32803699,76.30431167,low-moderate
17.33090893,76.30207993,low-moderate
17.3337013,76.29984981,low-moderate
17.33655883,76.29756907,low-moderate
17.33938193,76.29531097,low-moderate
17.34224689,76.29303334,low-moderate
17.34526325,76.2913069,low-moderate
17.34832973,76.2895599,low-moderate
17.35136185,76.2877724,low-moderate
17.35452789,76.28595787,low-moderate
17.35759778,76.28418054,low-moderate
17.36021396,76.28193189,low-moderate
17.36296796,76.27960787,low-moderate
17.3654679,76.27747915,low-moderate
17.36815626,76.27517839,low-moderate
17.50802829,76.14324326,low-moderate
17.5109241,76.1413496,low-moderate
17.51374956,76.13950882,low-moderate
17.51656078,76.13768009,low-moderate
17.51940179,76.13583867,low-moderate
17.52252172,76.13380633,low-moderate
17.52547354,76.13186821,low-moderate
17.52856787,76.13010545,low-moderate
17.5315732,76.12845233,low-moderate
17.55025033,76.1180066,low-moderate
