latitude,longitude,Potential Fouling
16.21716228,77.27574415,moderate-high
16.22046692,77.27513496,moderate-high
16.22370743,77.27454002,moderate-high
16.22697548,77.27394995,moderate-high
16.23004868,77.27335718,moderate-high
16.23310689,77.2727614,moderate-high
16.23653117,77.27215921,moderate-high
16.2398563,77.27153826,moderate-high
16.24173199,77.27232926,moderate-high
16.24513299,77.27123529,moderate-high
16.2484709,77.27017425,moderate-high
16.25188072,77.26904628,moderate-high
16.25523703,77.26796155,moderate-high
16.25869275,77.26683373,moderate-high
16.26200094,77.26576435,moderate-high
16.26534947,77.26472431,moderate-high
16.2670683,77.26266862,moderate-high
16.26969011,77.26011491,moderate-high
16.2723583,77.25756244,moderate-high
16.27497219,77.25512148,moderate-high
16.27743374,77.25281892,moderate-high
16.28015231,77.25021379,moderate-high
16.28282071,77.2476367,moderate-high
16.28548156,77.24507598,moderate-high
16.28688028,77.24325746,moderate-high
16.28970397,77.24093225,moderate-high
16.29240211,77.23859929,moderate-high
16.29517042,77.23627013,moderate-high
16.29792163,77.23394541,moderate-high
16.3006534,77.23156413,moderate-high
16.30332677,77.22925198,moderate-high
16.30608457,77.22698601,moderate-high
16.30888386,77.22461148,moderate-high
16.31070725,77.22335552,moderate-high
16.31239519,77.2221776,moderate-high
16.31479599,77.21956675,moderate-high
16.31723121,77.21695079,moderate-high
16.31960175,77.21429511,moderate-high
16.32201148,77.21164103,moderate-high
16.32431077,77.20909214,moderate-high
16.32667777,77.20648689,moderate-high
16.32909638,77.20384109,moderate-high
16.33146492,77.20121293,moderate-high
16.33386515,77.19857907,moderate-high
16.33626606,77.19591995,moderate-high
16.33863728,77.19332372,moderate-high
16.3410103,77.19071831,moderate-high
16.34335189,77.18811768,moderate-high
16.34575443,77.18545453,moderate-high
16.34819891,77.18277535,moderate-high
16.35060597,77.18015901,moderate-high
16.35298179,77.17731169,moderate-high
16.35537875,77.17465006,moderate-high
16.35782143,77.17214236,moderate-high
16.36020869,77.16958377,moderate-high
16.36259393,77.16691679,moderate-high
16.36515104,77.16408194,moderate-high
16.36744395,77.161567,moderate-high
16.36986931,77.15889091,moderate-high
16.37222852,77.15628548,moderate-high
16.37466081,77.1536078,moderate-high
16.37711203,77.15088203,moderate-high
16.37950112,77.148189,moderate-high
16.38192522,77.1455659,moderate-high
16.38438978,77.14282946,moderate-high
16.38696038,77.13999212,moderate-high
16.38913494,77.13760202,moderate-high
16.39144966,77.13503936,moderate-high
16.39392289,77.13233106,moderate-high
16.39672659,77.13252394,moderate-high
16.3995563,77.1302286,moderate-high
16.4023916,77.12794281,moderate-high
16.40530077,77.12566785,moderate-high
16.4081963,77.12338254,moderate-high
16.41105898,77.12108585,moderate-high
16.41391945,77.11882965,moderate-high
16.41677611,77.11656189,moderate-high
16.41957195,77.11434165,moderate-high
16.42216111,77.11233018,moderate-high
16.4248403,77.11013656,moderate-high
16.42768113,77.10788889,moderate-high
16.43046175,77.10565827,moderate-high
16.43327779,77.10342119,moderate-high
16.43625122,77.10105868,moderate-high
16.43893337,77.0989257,moderate-high
16.44174354,77.09667429,moderate-high
16.44457833,77.09444371,moderate-high
16.44745454,77.09216733,moderate-high
16.45033224,77.08971089,moderate-high
16.45315754,77.08753654,moderate-high
16.45606239,77.08524856,moderate-high
16.45893834,77.08299041,moderate-high
16.46183094,77.08068371,moderate-high
16.46462528,77.07846375,moderate-high
16.4674745,77.0761934,moderate-high
16.47029145,77.07397579,moderate-high
16.47311472,77.07169293,moderate-high
16.4758924,77.069452,moderate-high
16.47875272,77.06718983,moderate-high
16.48156423,77.06495896,moderate-high
16.48439592,77.06267168,moderate-high
16.48721432,77.06050642,moderate-high
16.49008104,77.05818193,moderate-high
16.49295184,77.055881,moderate-high
16.49572232,77.05368267,moderate-high
16.49858343,77.05138846,moderate-high
16.5014298,77.04914052,moderate-high
16.50441779,77.04677747,moderate-high
16.50720018,77.0446424,moderate-high
16.50998173,77.04250213,moderate-high
16.51279775,77.04032156,moderate-high
16.51635351,77.03758932,moderate-high
16.51971144,77.0349808,moderate-high
16.52247167,77.0328471,moderate-high
16.52596837,77.03213339,moderate-high
16.52948482,77.03136115,moderate-high
16.53285854,77.03009553,moderate-high
16.53613494,77.02884939,moderate-high
16.55619539,77.02123141,moderate-high
16.57756998,77.0023479,moderate-high
16.58004391,76.99962623,moderate-high
16.58246336,76.99684396,moderate-high
16.60868981,76.96886719,moderate-high
16.61100083,76.9663633,moderate-high
16.61340951,76.96374952,moderate-high
16.61582946,76.96112294,moderate-high
16.61825997,76.9585136,moderate-high
16.6208025,76.95573022,moderate-high
16.62321555,76.95309986,moderate-high
16.62609994,76.95091044,moderate-high
16.62901731,76.94872964,moderate-high
16.63191747,76.94656411,moderate-high
16.63489581,76.94432659,moderate-high
16.6376674,76.94227158,moderate-high
16.8324234,76.77351124,moderate-high
16.83508987,76.771603,moderate-high
16.83810447,76.76954812,moderate-high
16.8408489,76.76761751,moderate-high
16.96124663,76.63248525,low-moderate
16.96368219,76.63005647,low-moderate
17.14310319,76.46498422,low-moderate
17.1461136,76.46276368,low-moderate
17.15034649,76.46309541,low-moderate
17.37373909,76.27045756,low-moderate
17.37637241,76.26819552,low-moderate
17.37921275,76.26577307,low-moderate
17.38149784,76.26306777,low-moderate
17.38378565,76.2603018,low-moderate
17.38628301,76.25732691,low-moderate
17.38859479,76.2545783,low-moderate
17.39088436,76.25182109,low-moderate
17.39324457,76.24901204,low-moderate
17.39572054,76.24610849,low-moderate
17.39778369,76.24640618,low-moderate
17.40017085,76.24427594,low-moderate
17.5315732,76.12845233,low-moderate
17.53474206,76.12667549,low-moderate
17.53778264,76.12498434,low-moderate
17.54086603,76.12325214,low-moderate
17.54422525,76.12136432,low-moderate
17.54719018,76.11971293,low-moderate
17.55025033,76.1180066,low-moderate
17.55351985,76.11617763,low-moderate
17.55658332,76.11447626,low-moderate
17.55956238,76.11275178,low-moderate
17.56265619,76.11101915,low-moderate
